L,N,perm_kind,perm_idx,baseline,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity,stim_fidelity,stim_shots
4,16,reverse,0,1d,0,16,96,96,96,1344,1536,0.001,0.0001,0.7941723685257257,0.846,1000
4,16,reverse,0,1d,0,16,96,96,96,1344,1536,0.0001,1e-05,0.9772228592875803,0.984,1000
4,16,reverse,0,1d,0,16,96,96,96,1344,1536,1e-05,1.0000000000000002e-06,0.9976986467112683,0.997,1000
4,16,reverse,0,ancilla,4,20,214,214,214,3852,4280,0.001,0.0001,0.5491814771239987,0.667,1000
4,16,reverse,0,ancilla,4,20,214,214,214,3852,4280,0.0001,1e-05,0.9418386885261518,0.954,1000
4,16,reverse,0,ancilla,4,20,214,214,214,3852,4280,1e-05,1.0000000000000002e-06,0.9940259036787126,0.997,1000
4,16,reverse,0,primitive,0,16,282,282,282,3948,4512,0.001,0.0001,0.5081590268627469,0.616,1000
4,16,reverse,0,primitive,0,16,282,282,282,3948,4512,0.0001,1e-05,0.9345579824693747,0.944,1000
4,16,reverse,0,primitive,0,16,282,282,282,3948,4512,1e-05,1.0000000000000002e-06,0.9932548353645633,0.997,1000
4,16,reverse,0,pipelined,0,16,258,258,258,3612,4128,0.001,0.0001,0.5382957507554986,0.63,1000
4,16,reverse,0,pipelined,0,16,258,258,258,3612,4128,0.0001,1e-05,0.9399566980465841,0.964,1000
4,16,reverse,0,pipelined,0,16,258,258,258,3612,4128,1e-05,1.0000000000000002e-06,0.9938271163100035,0.998,1000
4,16,transpose,0,1d,0,16,60,60,60,840,960,0.001,0.0001,0.8658581176319928,0.902,1000
4,16,transpose,0,1d,0,16,60,60,60,840,960,0.0001,1e-05,0.9857028469920583,0.991,1000
4,16,transpose,0,1d,0,16,60,60,60,840,960,1e-05,1.0000000000000002e-06,0.9985610328873947,0.998,1000
4,16,transpose,0,ancilla,4,20,202,202,202,3636,4040,0.001,0.0001,0.5679515014963873,0.662,1000
4,16,transpose,0,ancilla,4,20,202,202,202,3636,4040,0.0001,1e-05,0.9450086558805532,0.959,1000
4,16,transpose,0,ancilla,4,20,202,202,202,3636,4040,1e-05,1.0000000000000002e-06,0.9943599532034243,0.997,1000
4,16,transpose,0,primitive,0,16,270,270,270,3780,4320,0.001,0.0001,0.523010367840128,0.636,1000
4,16,transpose,0,primitive,0,16,270,270,270,3780,4320,0.0001,1e-05,0.9372534530931272,0.938,1000
4,16,transpose,0,primitive,0,16,270,270,270,3780,4320,1e-05,1.0000000000000002e-06,0.9935409346329578,0.997,1000
4,16,transpose,0,pipelined,0,16,246,246,246,3444,3936,0.001,0.0001,0.5540278608205325,0.642,1000
4,16,transpose,0,pipelined,0,16,246,246,246,3444,3936,0.0001,1e-05,0.942667739752621,0.951,1000
4,16,transpose,0,pipelined,0,16,246,246,246,3444,3936,1e-05,1.0000000000000002e-06,0.9941133804194379,0.995,1000
4,16,random,0,1d,0,16,47,47,47,658,752,0.001,0.0001,0.8933053619390866,0.932,1000
4,16,random,0,1d,0,16,47,47,47,658,752,0.0001,1e-05,0.9887831157541451,0.997,1000
4,16,random,0,1d,0,16,47,47,47,658,752,1e-05,1.0000000000000002e-06,0.9988726332768468,0.999,1000
