L,N,perm_kind,perm_idx,baseline,accounting_model,hall_decomposition_model,gamma_schedule_model,sampling_model,stim_seed,permutation_model,permutation_seed,permutation_sha256,numpy_version,cirq_version,openfermion_version,stim_version,n_ancillas,total_qubits,cnot_depth,total_cnots,n_fswap,n_2q_cnot_cz,total_idle_slots_layered,total_2q_gates_legacy,total_idle_slots_legacy,n_1q_hadamard,n_1q_other,n_1q_s_sdag,n_1q_rz,n_1q_pauli_z,spacetime_volume,p_2q,p_idle,mult_fidelity,mult_fidelity_legacy,stim_fidelity,stim_fidelity_ci_lo,stim_fidelity_ci_hi,stim_shots
4,16,reverse,0,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8505861871713371703,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,192,96,0,96,96,48,0,0,0,0,0,480,0.0001,0.0001,0.9716093679773469,0.9857024743690902,0.971337,0.97100815026625,0.9716622285042515,1000000
4,16,reverse,0,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,778167745617190863,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,192,96,0,96,96,48,0,0,0,0,0,480,1e-05,1e-05,0.9971241288628827,0.9985610291128343,0.997185,0.9970792302221003,0.9972869499611057,1000000
4,16,reverse,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,4327148451526533110,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,4,20,126,382,48,286,1756,334,1692,0,0,0,0,0,2520,0.0001,0.0001,0.8075012380378468,0.8165965453167413,0.817385,0.8166265480505382,0.8181410135159749,1000000
4,16,reverse,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,6281873089671415333,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,4,20,126,382,48,286,1756,334,1692,0,0,0,0,0,2520,1e-05,1e-05,0.9788468274142442,0.9799437555106606,0.979924,0.9796472455890849,0.9801970672084551,1000000
4,16,reverse,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8779314882575458103,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,100,330,48,234,940,282,908,0,0,0,0,12,1600,0.0001,0.0001,0.8807280795832354,0.8878025179690744,0.880854,0.8802175861162533,0.8814874878250256,1000000
4,16,reverse,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,4458847381971876057,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,100,330,48,234,940,282,908,0,0,0,0,12,1600,1e-05,1e-05,0.9873802419850137,0.988170466177257,0.987512,0.9872924660736204,0.9877277884261635,1000000
4,16,reverse,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,6701823621852947555,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,86,306,48,210,764,258,732,0,0,0,0,12,1376,0.0001,0.0001,0.8985208655703281,0.9057382243093342,0.898897,0.8983046061392769,0.8994863291796492,1000000
4,16,reverse,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,699558872166773678,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,86,306,48,210,764,258,732,0,0,0,0,12,1376,1e-05,1e-05,0.98935698844026,0.9901487946703084,0.989419,0.989216571236275,0.9896176686122411,1000000
4,16,reverse,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,2303695109697868889,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,188,48,92,104,140,72,0,0,0,0,8,480,0.0001,0.0001,0.9712207825228318,0.9790221025264535,0.971151,0.9708211230356427,0.9714772571638759,1000000
4,16,reverse,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,6482402935923444494,build_benchmark_permutation_raster_v1,-1,dd3d7dce4ee37ffd42228a284fd17cc77946d2a43bf0b98f84ed83183f0c150a,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,188,48,92,104,140,72,0,0,0,0,8,480,1e-05,1e-05,0.9970842444959989,0.9978822350352073,0.997105,0.9969977697832841,0.9972084110145529,1000000
