L,N,method,gamma_method,gamma_schedule_model,cirq_version,openfermion_version,numpy_version,pandas_version,matplotlib_version,networkx_version,accounting_model,rotation_inventory_model,hall_decomposition_model,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnot_equiv,total_idle_slots,total_idle_slots_layered,n_1q_nonz,n_exact_t,n_synth_rz,spacetime_volume,p_2q,p_idle,p_1q,mult_fidelity,mult_fidelity_legacy,verification_error
4,16,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,68,164,328,216,432,17,70,4,1088,0.001,0.001,0.001,0.467488629009523,0.6837314012165324,7.059962249243381e-16
4,16,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,68,164,328,216,432,17,70,4,1088,0.0001,0.0001,0.0001,0.9268126844296866,0.962711111616401,7.059962249243381e-16
4,16,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,68,164,328,216,432,17,70,4,1088,1e-05,1e-05,1e-05,0.9924287692636202,0.9962071919353023,7.059962249243381e-16
4,16,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,38,148,204,120,200,17,68,4,608,0.001,0.001,0.001,0.6675091808180758,0.7648052219533455,
4,16,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,38,148,204,120,200,17,68,4,608,0.0001,0.0001,0.0001,0.9604032600836852,0.9735546285901134,
4,16,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,16,38,148,204,120,200,17,68,4,608,1e-05,1e-05,1e-05,0.9959681297025412,0.9973235746297967,
4,16,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,16,82,290,396,300,520,17,68,4,1312,0.001,0.001,0.001,0.3999329761405296,0.5541636732359667,6.707437923744493e-16
4,16,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,16,82,290,396,300,520,17,68,4,1312,0.0001,0.0001,0.0001,0.9124658852011068,0.9427039879908264,6.707437923744493e-16
4,16,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,16,82,290,396,300,520,17,68,4,1312,1e-05,1e-05,1e-05,0.9908817796142726,0.9941173414939654,6.707437923744493e-16
4,16,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,4,20,274,678,784,3584,3912,17,68,4,5480,0.001,0.001,0.001,0.009110300645910964,0.014064063517475127,
