L,N,k,instance_idx,n_colors,n_quartets,rng_seed,syk_generator_model,quartet_sampling_model,coupling_model,parent_coloring_model,numpy_version,networkx_version,quartets_sha256,coloring_sha256
4,16,0.5,0,11,23,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,13002aa1bb5b787254fc9515e54082a70e2dbe58337da20e8695cbb71819465c,509d360380086214e6f3265afc94f019058aa8e492318a735b057ea4b81eaba8
4,16,0.5,1,8,19,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,8e158e6be35902df960c401b7d611a5811ecb137ff1c90725cc965286b53f37a,58e0b4fb12b2fbd599ca16f2eb04a834b2fc868081edf3e31d93757c5f86675d
4,16,0.5,2,7,15,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,009b85b9dc07ab8f6ab88eb6c9ac8ff153ae97b339c00bea2da9708997be6874,b3f657d82d4c4e748626b04aa2c49f1cd1a16703776277a1bb2c9437559274df
4,16,0.5,3,10,20,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,f1ef9c19a99754c80e5490a84f58821009c48915edff3413cb74686cf9957487,a6f4f40b544d0b5b75a8e56ede47d530e0c052e612a249cb23c07e07c98c0e73
4,16,0.5,4,6,11,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,7313f6849ae3fd155337dd98117d48a401bd052d16f5d643d3feab83473c2a8a,32fc389e8f562464c4264d482e865dd37a60eabd0fc35d18b7bfaee46dc2a2a1
4,16,0.5,5,8,22,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,813eeb79c29829b98dce680a52956e8f7586ec27ca7cf9a7e0592335df367212,d41b9dbcbc0ee5ada4b930246d43e86fd026aa3843867259b427d4a89b718035
4,16,0.5,6,9,18,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,a4332a0697d2721b549249d03c7ec216e89386ca45e4b4f79b68c29751685b00,2ba52bdc7ae859c560aff5b580f9cede7c4165e5b9b10d872f593364dde4a909
4,16,0.5,7,8,15,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,cfdb7c960760ba59283f5a8366088fac0e8fcfcbe6bf671a45f7f55dbd7d997b,fb3b2295e44767b7f3f49e1b017ef274254e0ae9e10f5ec6a372ed05dfab0f4e
4,16,0.5,8,9,17,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,97e1ce86c4ee03be4c7224810c48d8ef7dca2d0f1f29c4b75a4d22ce0784fe6f,2e611d3d61b73e9a0aa53b2d496e66af2a7f61decfa2c8f2c06e49576bb547d7
4,16,0.5,9,7,13,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,2a5527fa7d556e9b28b0d04031a821a3cbeb8756eef6e146275e5b2615792163,55ac5e67bada7a08975333456ddeab4fe19b19419dfd604bd42b5dd5f6bf3d03
4,16,1.0,0,15,38,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd
4,16,1.0,1,15,38,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,16e9dae353f9dd5e880a37427c50604ee96607cbc0354a4a13e3d0705aa784c1,b001461f3fda5a22d2fc7ee356a18188f233544967c5330cd866fb2e485f34f7
4,16,1.0,2,14,33,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,3cf6cc9ba13648517189887f0401de16215c1ad6350ff0e019b04e12e49387cf,db58152bf6bb9db685510d9ffa71fd3b14a83495190d5c33c6e75a9fa680f72d
4,16,1.0,3,15,34,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,ccdc8ebb7e1ebd93812c06833080100edddd75d6b7c5433161a360da679da94f,103945178a0714f2acd04ae9cc83bfa06f44a6674160fa724896cf8fe0300d64
4,16,1.0,4,15,29,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,74ec1235ce9a76e2ec6fecdd4d1a9edfec8ff47f1377bdbc5cf743f522ee6c4e,3d8ed2ec0cec5c0faea63670facb830f0be66038f0c42978d1656c8ce21f59f1
4,16,1.0,5,16,42,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,8c4aa813083f5734336a34cbf731de543c2a6f6f337861338fd6d29d4799225c,3c8b43502ff5088210d43d2fac58395b00380190450dc2f652b2bfcfc3339a2f
