L,N,k,instance_idx,baseline,accounting_model,hall_decomposition_model,gamma_schedule_model,rng_seed,syk_generator_model,quartet_sampling_model,coupling_model,parent_coloring_model,numpy_version,networkx_version,quartets_sha256,coloring_sha256,cirq_version,openfermion_version,pauli_rotation_compiler_model,n_colors,n_quartets,n_ancillas,total_qubits,cnot_depth,fp_cnot_depth,interaction_cnot_depth,total_cnots,n_fswap,n_2q_cnot_cz,total_idle_slots_layered,total_2q_gates_legacy,total_idle_slots_legacy,n_1q_hadamard,n_1q_other,n_1q_s_sdag,n_1q_rz,n_1q_pauli_z,spacetime_volume,p_2q,p_idle,mult_fidelity,mult_fidelity_legacy
4,16,1.0,0,naive_pauli,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,876,0,876,876,0,876,12264,876,12264,260,0,132,38,0,14016,0.001,0.001,1.9521594589232945e-06,1.9521594589232945e-06
4,16,1.0,0,naive_pauli,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,876,0,876,876,0,876,12264,876,12264,260,0,132,38,0,14016,0.0001,0.0001,0.2687252748367065,0.2687252748367065
4,16,1.0,0,naive_pauli,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,876,0,876,876,0,876,12264,876,12264,260,0,132,38,0,14016,1e-05,1e-05,0.8768663813446349,0.8768663813446349
4,16,1.0,0,1d,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,750,652,98,2660,1224,212,6680,1436,3912,260,0,124,38,0,12000,0.001,0.001,8.742990986856991e-05,0.0047449433588721
4,16,1.0,0,1d,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,750,652,98,2660,1224,212,6680,1436,3912,260,0,124,38,0,12000,0.0001,0.0001,0.392960294857627,0.5857707709528455
4,16,1.0,0,1d,native_cnot_layers_uniform_nonentangling_v2,not_applicable,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,750,652,98,2660,1224,212,6680,1436,3912,260,0,124,38,0,12000,1e-05,1e-05,0.9108286704222468,0.9479246458356624
4,16,1.0,0,ancilla,native_cnot_layers_uniform_nonentangling_v2,canonical_augmenting_v1,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,4,20,3990,3892,98,10684,946,8792,58432,9738,54404,260,0,124,38,0,79800,0.001,0.001,9.295745541716276e-31,1.3475528005543722e-28
4,16,1.0,0,ancilla,native_cnot_layers_uniform_nonentangling_v2,canonical_augmenting_v1,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,4,20,3990,3892,98,10684,946,8792,58432,9738,54404,260,0,124,38,0,79800,0.0001,0.0001,0.0009958184431003,0.0016376045725714
4,16,1.0,0,ancilla,native_cnot_layers_uniform_nonentangling_v2,canonical_augmenting_v1,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,4,20,3990,3892,98,10684,946,8792,58432,9738,54404,260,0,124,38,0,79800,1e-05,1e-05,0.5009928468118332,0.5265425114786696
4,16,1.0,0,primitive,native_cnot_layers_uniform_nonentangling_v2,canonical_augmenting_v1,not_applicable,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5bbfcb5b809fb7b9375ec4ae7a8584630ce165c9adff4d08afa0cc62056b7ccb,7d7a5c85adfe092b7ca5748a4e12b5110a07f94823768d38f5ab108d483033cd,1.7.0,1.8.1,snake_nn_dirty_bridge_sweep_v1,15,38,0,16,3210,3112,98,9124,946,7232,33112,8178,30268,260,0,124,38,360,51360,0.001,0.001,4.4459104678456925e-19,1.971334561837183e-17
