method,L,H,S,X,Y,Z,CNOT,CZ,MEASURE,RESET,OTHER_1Q,OTHER_2Q,OTHER_NQ,SINGLE_TOTAL,TWO_QUBIT_TOTAL,READOUT_TOTAL,TOTAL_EVENTS,single_qubit_estimation_count,measurement_event_count,idle_cnot_time,CNOT_EQ_TWOQ,weighted_cnot_component,weighted_meas_component,weighted_idle_component,weighted_count_metric,success_probability,log_success,log10_success,error_sum_single,error_sum_two_qubit,error_sum_measurement,error_sum_idle,error_sum_total,rough_expected_baseline_cnot_eq,rough_expected_custom_cnot_eq,rough_expected_custom_measure,rough_expected_custom_idle_cnot_time,baseline_ratio_cnot_eq_over_L4,custom_ratio_cnot_eq_over_L3,custom_ratio_measure_over_L3,custom_ratio_idle_cnot_time_over_L3,result_origin,elapsed_seconds,permutation_kind,seed,include_reset_as_measurement,measurement_duration_mu,idle_multiplier,other_2q_cnot_equivalent
baseline_openfermion_snake,20,160344,0,0,0,0,80172,0,0,0,0,0,0,160344,80172,0,240516,0.0,0.0,0.0,80172.0,80172.0,0.0,0.0,80172.0,0.00032960984635476364,-8.017600886726004,-3.481999823207722,0.0,8.0172,0.0,0.0,8.0172,160000.0,128000.0,32000.0,116800.0,0.501075,,,,exact,7.516348838806152,random,7,False,3.65,0.01,1.0
baseline_openfermion_snake,20,160344,0,0,0,0,80172,0,0,0,0,0,0,160344,80172,0,240516,0.0,0.0,0.0,80172.0,80172.0,0.0,0.0,80172.0,0.0003296098463547,-8.017600886726004,-3.481999823207722,0.0,8.0172,0.0,0.0,8.0172,160000.0,128000.0,32000.0,116800.0,0.501075,,,,exact,7.284508228302002,random,7,True,3.65,0.01,1.0
baseline_openfermion_snake,25,402332,0,0,0,0,201166,0,0,0,0,0,0,402332,201166,0,603498,0.0,0.0,0.0,201166.0,201166.0,0.0,0.0,201166.0,1.8324611241216432e-09,-20.117605897060365,-8.736965230197635,0.0,20.116600000000002,0.0,0.0,20.116600000000002,390625.0,250000.0,62500.0,228125.0,0.51498496,,,,exact,17.96034002304077,random,7,False,3.65,0.01,1.0
baseline_openfermion_snake,25,402332,0,0,0,0,201166,0,0,0,0,0,0,402332,201166,0,603498,0.0,0.0,0.0,201166.0,201166.0,0.0,0.0,201166.0,1.832461124121643e-09,-20.117605897060365,-8.736965230197635,0.0,20.1166,0.0,0.0,20.1166,390625.0,250000.0,62500.0,228125.0,0.51498496,,,,exact,17.327600240707397,random,7,True,3.65,0.01,1.0
baseline_openfermion_snake,30,801520,0,0,0,0,400760,0,0,0,0,0,0,801520,400760,0,1202280,0.0,0.0,0.0,400760.0,400760.0,0.0,0.0,400760.0,3.929561100160649e-18,-40.07800393359669,-17.405655954057863,0.0,40.076,0.0,0.0,40.076,810000.0,432000.0,108000.0,394200.0,0.49476543209876545,,,,exact,35.536648988723755,random,7,False,3.65,0.01,1.0
baseline_openfermion_snake,30,801520,0,0,0,0,400760,0,0,0,0,0,0,801520,400760,0,1202280,0.0,0.0,0.0,400760.0,400760.0,0.0,0.0,400760.0,3.929561100160649e-18,-40.07800393359669,-17.405655954057863,0.0,40.076,0.0,0.0,40.076,810000.0,432000.0,108000.0,394200.0,0.4947654320987654,,,,exact,34.532238721847534,random,7,True,3.65,0.01,1.0
baseline_openfermion_snake,35,1503384,0,0,0,0,751692,0,0,0,0,0,0,1503384,751692,0,2255076,0.0,0.0,0.0,751692.0,751692.0,0.0,0.0,751692.0,2.2531953362915423e-33,-75.1729587105828,-32.647201156347094,0.0,75.1692,0.0,0.0,75.1692,1500625.0,686000.0,171500.0,625975.0,0.50091928363182,,,,exact,66.60852098464966,random,7,False,3.65,0.01,1.0
baseline_openfermion_snake,35,1503384,0,0,0,0,751692,0,0,0,0,0,0,1503384,751692,0,2255076,0.0,0.0,0.0,751692.0,751692.0,0.0,0.0,751692.0,2.2531953362915426e-33,-75.1729587105828,-32.647201156347094,0.0,75.1692,0.0,0.0,75.1692,1500625.0,686000.0,171500.0,625975.0,0.50091928363182,,,,exact,64.36875009536743,random,7,True,3.65,0.01,1.0
baseline_openfermion_snake,40,2490232,0,0,0,0,1245116,0,0,0,0,0,0,2490232,1245116,0,3735348,0.0,0.0,0.0,1245116.0,1245116.0,0.0,0.0,1245116.0,8.367491343820327e-55,-124.51782599506981,-54.077404728248105,0.0,124.5116,0.0,0.0,124.5116,2560000.0,1024000.0,256000.0,934400.0,0.4863734375,,,,exact,109.84115505218506,random,7,False,3.65,0.01,1.0
baseline_openfermion_snake,40,2490232,0,0,0,0,1245116,0,0,0,0,0,0,2490232,1245116,0,3735348,0.0,0.0,0.0,1245116.0,1245116.0,0.0,0.0,1245116.0,8.367491343820326e-55,-124.5178259950698,-54.077404728248105,0.0,124.5116,0.0,0.0,124.5116,2560000.0,1024000.0,256000.0,934400.0,0.4863734375,,,,exact,107.44767332077026,random,7,True,3.65,0.01,1.0
